repositoryName,mcrTags
zmops/zeus-iot,"[apache,camel]"
mirkosertic/Bytecoder,"[bridge,logging,slf4j]"
MyCollab/mycollab,"[gwt,web-framework]"
streamxhub/jobx,"[cache,client]"
YunaiV/onemall,"[github,spring,starter]"
apache/iotdb,"[bridge,logging,slf4j]"
spring-cloud/stream-applications,"[amqp,client,cloud,http,junit,queue,rabbitmq,spring,testing]"
alexxiyang/shiro-redis,[github]
slackapi/java-slack-sdk,"[api,cloud,google,http]"
hantsy/spring-reactive-sample,"[data,database,graph,junit,neo4j,spring,starter,testing]"
spullara/redis-protocol,"[database,github,protocol,redis]"
j-easy/easy-rules,"[rules,support]"
dhis2/dhis2-core,[github]
aitangbao/springboot-manager,"[github,spring,starter]"
apache/incubator-hop,"[eclipse,github,grpc,io,protocol,rpc,serialization]"
CompassSecurity/SAMLRaider,"[apache,security]"
pulsarIO/jetstream,"[bridge,logging,slf4j]"
SeldonIO/seldon-server,"[bridge,cache,client,logging,slf4j]"
apache/apex-core,[apache]
apache/helix,"[apache,metrics]"
HongZhaoHua/jstarcraft-core,[json]
graphfoundation/ongdb,[runtime]
hzi-braunschweig/SORMAS-Project,"[admin,client]"
geekidea/spring-boot-plus,"[github,spring,starter]"
AtomGraph/LinkedDataHub,[processor]
dekorateio/dekorate,"[annotations,builder,io]"
qiujiayu/AutoLoadCache,"[cache,client]"
open-metadata/OpenMetadata,[github]
apereo/java-cas-client,"[cache,client]"
GoogleCloudPlatform/bigquery-utils,[apache]
microsoft/azure-maven-plugins,"[azure,client,rest,runtime,storage]"
flyway/flyway,"[build,build-system,gradle,groovy,plugin]"
SonarSource/sonar-scanner-cli,[sonar]
database-rider/database-rider,"[dependency-injection,io]"
apache/flume,"[apache,database,hadoop,hbase]"
wildfly/wildfly-core,"[framework,testing]"
apache/incubator-linkis,[protocol]
gravitee-io/gravitee-access-management,"[authentication,io,vertx]"
FINRAOS/herd,"[amazon,aws,sdk]"
nutzam/nutzboot,"[integration,starter]"
dstl/baleen,"[database,graph,neo4j]"
arquillian/arquillian-cube,"[annotations,builder,io]"
apache/plc4x,[github]
mybatis/mybatis-dynamic-sql,"[junit,testing]"
speedment/speedment,"[junit,testing]"
Azure/azure-iot-sdk-java,"[client,rest,runtime]"
gridgain/gridgain-old,"[google,memcached,spring]"
